Name,Severity,Activation Period,Training Period,Test Period,Deduplication Period,Detection Modules,ATT&CK Tactic,ATT&CK Technique,XDR Agent,XDR Agent (with XTH),Windows Event Collector,PAN Platform Logs,Azure Audit Logs,GCP Audit Logs,Azure AD,Azure AD Audit Logs,AWS Audit Logs,Okta,Ping,OneLogin,Google Workspace Audit Logs,Office 365 Audit Logs,Box Audit Logs,DropBox Audit Logs,PAN Global Protect/3rd Party VPN
Rare WinRM Session,Informational,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008),Remote Services: Windows Remote Management (T1021.006),X,,,,,,,,,,,,,,,,
Possible DLL Hijack into a Microsoft process,Low,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003)Privilege Escalation (TA0004)Defense Evasion (TA0005),Hijack Execution Flow: DLL Search Order Hijacking (T1574.001),X,,,,,,,,,,,,,,,,
A user accessed an uncommon AppID,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Exfiltration (TA0010),Exfiltration Over Web Service (T1567),X,,,X,,,,,,,,,,,,,
Suspicious Encrypting File System Remote call (EFSRPC) to domain controller,Medium,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008),Use Alternate Authentication Material: Pass the Hash (T1550.002),X,,,X,,,,,,,,,,,,,
Globally uncommon process execution from a signed process,Informational,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),User Execution (T1204),X,,,,,,,,,,,,,,,,
Possible Kerberos relay attack,Low,14 Days,30 Days,N/A (single event),2 Days,,Privilege Escalation (TA0004),Abuse Elevation Control Mechanism (T1548),X,,X,,,,,,,,,,,,,,
Interactive login from a shared user account,Informational,14 Days,30 Days,N/A (single event),30 Days,Identity Analytics,Initial Access (TA0001),Valid Accounts (T1078),X,,,,,,,,,,,,,,,,
Rare process execution by user,Informational,14 Days,30 Days,N/A (single event),30 Days,Identity Analytics,Execution (TA0002),User Execution (T1204),X,,,,,,,,,,,,,,,,
Recurring rare domain access to dynamic DNS domain,Low,14 Days,30 Days,N/A (single event),14 Days,,Command and Control (TA0011),Application Layer Protocol (T1071),X,,,X,,,,,,,,,,,,,
Abnormal network communication through TOR using an uncommon port,Low,14 Days,30 Days,N/A (single event),1 Day,,Command and Control (TA0011),Application Layer Protocol (T1071)Non-Standard Port (T1571),X,,,X,,,,,,,,,,,,,
A compressed file was exfiltrated over SSH,Informational,14 Days,30 Days,N/A (single event),1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,,,,,,,,,,,,,,
Discovery of host users via WMIC,Informational,14 Days,30 Days,N/A (single event),1 Day,,Discovery (TA0007),System Owner/User Discovery (T1033),X,,,,,,,,,,,,,,,,
Weakly-Encrypted Kerberos Ticket Requested,Low,14 Days,30 Days,N/A (single event),30 Days,,Credential Access (TA0006),Steal or Forge Kerberos Tickets: Kerberoasting (T1558.003),X,,,X,,,,,,,,,,,,,
PsExec was executed with a suspicious command line,Informational,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002)Privilege Escalation (TA0004),System Services: Service Execution (T1569.002)Valid Accounts (T1078),X,,,,,,,,,,,,,,,,
Suspicious PowerShell Command Line,Low,14 Days,30 Days,N/A (single event),1 Hour,,Execution (TA0002),Command and Scripting Interpreter: PowerShell (T1059.001),X,,,,,,,,,,,,,,,,
Login by a dormant user,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Defense Evasion (TA0005),Valid Accounts: Domain Accounts (T1078.002),X,,,,,,,,,,,,,,,,
Script file added to startup-related Registry keys,Medium,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003),Boot or Logon Autostart Execution (T1547),X,,,,,,,,,,,,,,,,
System information discovery via psinfo.exe,Low,14 Days,30 Days,N/A (single event),6 Hours,,Discovery (TA0007),System Information Discovery (T1082),X,,,,,,,,,,,,,,,,
Suspicious sshpass command execution,Low,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006),Brute Force: Credential Stuffing (T1110.004),X,,,,,,,,,,,,,,,,
A contained executable was executed by an unusual process,Medium,14 Days,30 Days,N/A (single event),1 Day,,Privilege Escalation (TA0004)Persistence (TA0003),Escape to Host (T1611)Boot or Logon Autostart Execution: Kernel Modules and Extensions (T1547.006),X,,,,,,,,,,,,,,,,
Suspicious docker image download from an unusual repository,Informational,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),User Execution: Malicious Image (T1204.003),X,,,,,,,,,,,,,,,,
PowerShell suspicious flags,Medium,14 Days,30 Days,N/A (single event),7 Days,,Execution (TA0002),Command and Scripting Interpreter: PowerShell (T1059.001),X,,,,,,,,,,,,,,,,
Unusual Kubernetes dashboard communication from a pod,Low,14 Days,30 Days,N/A (single event),1 Day,,Discovery (TA0007),Container and Resource Discovery (T1613),X,,,,,,,,,,,,,,,,
Globally uncommon IP address connection from a signed process,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005)Command and Control (TA0011),System Binary Proxy Execution (T1218)Application Layer Protocol (T1071),X,,,,,,,,,,,,,,,,
Suspicious failed HTTP request - potential Spring4Shell exploit,Low,14 Days,30 Days,N/A (single event),1 Day,,Initial Access (TA0001),Exploit Public-Facing Application (T1190),X,,,X,,,,,,,,,,,,,
Extracting credentials from Unix files,Low,14 Days,30 Days,N/A (single event),1 Hour,,Credential Access (TA0006),Unsecured Credentials: Credentials In Files (T1552.001),X,,,,,,,,,,,,,,,,
A disabled user attempted to log in,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),X,,,,,,,,,,,,,,,,
Weakly-Encrypted Kerberos TGT Response,Informational,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006)Defense Evasion (TA0005)Persistence (TA0003),Modify Authentication Process: Domain Controller Authentication (T1556.001),X,,,X,,,,,,,,,,,,,
Compressing data using python,Low,14 Days,30 Days,N/A (single event),1 Day,,Collection (TA0009),Archive Collected Data: Archive via Library (T1560.002),X,,,,,,,,,,,,,,,,
Rare RDP session to a remote host,Low,14 Days,30 Days,N/A (single event),2 Days,,Lateral Movement (TA0008),Remote Services: Remote Desktop Protocol (T1021.001),X,,,,,,,,,,,,,,,,
Reading bash command history file,Low,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006),Unsecured Credentials: Bash History (T1552.003),X,,,,,,,,,,,,,,,,
Network traffic to a crypto miner related domain detected,Informational,14 Days,30 Days,N/A (single event),1 Day,,Impact (TA0040),Resource Hijacking (T1496),X,,,,,,,,,,,,,,,,
Autorun.inf created in root C drive,Medium,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003)Lateral Movement (TA0008),Hijack Execution Flow: Services File Permissions Weakness (T1574.010)Replication Through Removable Media (T1091),X,,,,,,,,,,,,,,,,
WmiPrvSe.exe Rare Child Command Line,Low,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008)Execution (TA0002),Remote Services (T1021)Remote Services: Windows Remote Management (T1021.006)Windows Management Instrumentation (T1047),X,,,,,,,,,,,,,,,,
Contained process execution with a rare GitHub URL,Low,14 Days,30 Days,N/A (single event),3 Hours,,Execution (TA0002),User Execution: Malicious Image (T1204.003),X,,,,,,,,,,,,,,,,
Msiexec execution of an executable from an uncommon remote location,Informational,14 Days,30 Days,N/A (single event),7 Days,,Defense Evasion (TA0005),System Binary Proxy Execution: Msiexec (T1218.007),X,,,,,,,,,,,,,,,,
Kubernetes secret enumeration activity,Informational,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006),Unsecured Credentials: Container API (T1552.007),X,,,,,,,,,,,,,,,,
Possible DCShadow attempt,High,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006)Defense Evasion (TA0005),OS Credential Dumping (T1003)Rogue Domain Controller (T1207),X,,,X,,X,,,,,,,,,,,
Mimikatz command-line arguments,High,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006),OS Credential Dumping (T1003),X,,,,,,,,,,,,,,,,
Suspicious process executed with a high integrity level,Informational,14 Days,30 Days,N/A (single event),7 Days,,Privilege Escalation (TA0004),Abuse Elevation Control Mechanism (T1548),X,,,,,,,,,,,,,,,,
System shutdown or reboot,Informational,14 Days,30 Days,N/A (single event),1 Day,,Impact (TA0040),System Shutdown/Reboot (T1529),X,,,,,,,,,,,,,,,,
Suspicious process accessed a site masquerading as Google,Informational,14 Days,30 Days,N/A (single event),1 Day,,Command and Control (TA0011)Defense Evasion (TA0005),Web Service: Bidirectional Communication (T1102.002)Masquerading (T1036),X,,,,,,,,,,,,,,,,
Possible IPFS traffic was detected,Informational,14 Days,30 Days,N/A (single event),1 Day,,Exfiltration (TA0010)Initial Access (TA0001),Exfiltration Over Alternative Protocol (T1048)Phishing (T1566),X,,,X,,,,,,,,,,,,,
Bronze-Bit exploit,High,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),User Execution (T1204),X,,,X,,,,,,,,,,,,,
Hidden Attribute was added to a file using attrib.exe,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Hide Artifacts: Hidden Files and Directories (T1564.001),X,,,,,,,,,,,,,,,,
Signed process performed an unpopular DLL injection,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Process Injection (T1055),X,,,,,,,,,,,,,,,,
Unusual AWS credentials creation,Low,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003),Account Manipulation: Additional Cloud Credentials (T1098.001),X,,,,,,,,,,,,,,,,
Suspicious process execution from tmp folder,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Hide Artifacts: Hidden Files and Directories (T1564.001),X,,,,,,,,,,,,,,,,
Suspicious .NET process loads an MSBuild DLL,Medium,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Trusted Developer Utilities Proxy Execution: MSBuild (T1127.001),X,,,,,,,,,,,,,,,,
Rundll32.exe executes a rare unsigned module,Low,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),System Binary Proxy Execution: Rundll32 (T1218.011),X,,,,,,,,,,,,,,,,
TGT request with a spoofed sAMAccountName - Network,Medium,14 Days,30 Days,N/A (single event),3 Hours,Identity Analytics,Privilege Escalation (TA0004)Persistence (TA0003),Account Manipulation (T1098)Valid Accounts (T1078),X,,,,,,,,,,,,,,,,
Unprivileged process opened a registry hive,High,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006),Unsecured Credentials: Credentials In Files (T1552.001),X,,,,,,,,,,,,,,,,
Suspicious execution of ODBCConf,Medium,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),System Binary Proxy Execution: Odbcconf (T1218.008),X,,,,,,,,,,,,,,,,
Unsigned process injecting into a Windows system binary with no command line,Medium,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005)Privilege Escalation (TA0004),Process Injection (T1055),X,,,,,,,,,,,,,,,,
Run downloaded script using pipe,Informational,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),Command and Scripting Interpreter: Unix Shell (T1059.004),X,,,,,,,,,,,,,,,,
Rare file transfer over SMB protocol,Low,14 Days,30 Days,N/A (single event),2 Days,,Lateral Movement (TA0008),Remote Services (T1021),X,,,X,,,,,,,,,,,,,
Scripting engine connected to a rare external host,Low,14 Days,30 Days,N/A (single event),1 Day,,Command and Control (TA0011)Execution (TA0002),Application Layer Protocol (T1071)Command and Scripting Interpreter (T1059),X,,,,,,,,,,,,,,,,
Uncommon msiexec execution of an arbitrary file from a remote location,Low,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),System Binary Proxy Execution: Msiexec (T1218.007),X,,,,,,,,,,,,,,,,
Uncommon net localgroup execution,Informational,14 Days,30 Days,N/A (single event),1 Day,,Discovery (TA0007),Permission Groups Discovery (T1069),X,,,,,,,,,,,,,,,,
Possible DCSync from a non domain controller,Low,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006)Defense Evasion (TA0005),OS Credential Dumping: DCSync (T1003.006)Rogue Domain Controller (T1207),X,,,,,,,,,,,,,,,,
Uncommon local scheduled task creation via schtasks.exe,Low,14 Days,30 Days,N/A (single event),1 Hour,,Persistence (TA0003),Scheduled Task/Job (T1053),X,,,,,,,,,,,,,,,,
Remote code execution into Kubernetes Pod,Informational,14 Days,30 Days,N/A (single event),5 Days,,Execution (TA0002),Container Administration Command (T1609),X,,,,,,,,,,,,,,,,
A Torrent client was detected on a host,Informational,14 Days,30 Days,N/A (single event),1 Day,,Exfiltration (TA0010)Initial Access (TA0001),Exfiltration Over Alternative Protocol (T1048)Phishing (T1566),X,,,X,,,,,,,,,,,,,
Possible compromised machine account,Medium,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002),User Execution (T1204),X,,,,,,,,,,,,,,,,
Possible new DHCP server,Medium,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006),Adversary-in-the-Middle (T1557),X,,,,,,,,,,,,,,,,
RDP Connection to localhost,Medium,14 Days,30 Days,N/A (single event),1 Hour,,Lateral Movement (TA0008),Remote Services: Remote Desktop Protocol (T1021.001),X,,,,,,,,,,,,,,,,
SMB Traffic from Non-Standard Process,Low,14 Days,30 Days,N/A (single event),1 Hour,,Discovery (TA0007),Network Service Discovery (T1046),X,,,,,,,,,,,,,,,,
Possible Pass-the-Hash,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Lateral Movement (TA0008),Use Alternate Authentication Material: Pass the Hash (T1550.002),X,,,,,,,,,,,,,,,,
Office process creates a scheduled task via file access,Medium,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002)Persistence (TA0003),Scheduled Task/Job (T1053),X,,,,,,,,,,,,,,,,
LOLBAS executable injects into another process,Informational,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Process Injection (T1055),X,,,,,,,,,,,,,,,,
Interactive at.exe privilege escalation method,Medium,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002)Privilege Escalation (TA0004),Scheduled Task/Job (T1053)Scheduled Task/Job: At (T1053.002),X,,,,,,,,,,,,,,,,
The Linux system firewall was disabled,Low,14 Days,30 Days,N/A (single event),10 Minutes,,Defense Evasion (TA0005),Impair Defenses: Disable or Modify System Firewall (T1562.004),X,,,,,,,,,,,,,,,,
Rare NTLM Access By User To Host,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Lateral Movement (TA0008),Use Alternate Authentication Material (T1550),X,,,X,,,,,,,,,,,,,
Suspicious SMB connection from domain controller,Low,14 Days,30 Days,N/A (single event),7 Days,,Lateral Movement (TA0008),Use Alternate Authentication Material: Pass the Hash (T1550.002),X,,,X,,,,,,,,,,,,,
Suspicious certutil command line,Medium,14 Days,30 Days,N/A (single event),1 Day,,Command and Control (TA0011)Defense Evasion (TA0005),System Binary Proxy Execution (T1218)Ingress Tool Transfer (T1105),X,,,,,,,,,,,,,,,,
Vulnerable driver loaded,Medium,14 Days,30 Days,N/A (single event),7 Days,,Privilege Escalation (TA0004),Exploitation for Privilege Escalation (T1068),X,,,,,,,,,,,,,,,,
Kerberos Traffic from Non-Standard Process,Medium,14 Days,30 Days,N/A (single event),1 Day,,Discovery (TA0007),Network Service Discovery (T1046),X,,,,,,,,,,,,,,,,
Attempt to execute a command on a remote host using PsExec.exe,Low,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008)Execution (TA0002),Remote Services: SMB/Windows Admin Shares (T1021.002)System Services: Service Execution (T1569.002),X,,,,,,,,,,,,,,,,
Rare Scheduled Task RPC activity,Informational,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008)Persistence (TA0003),Remote Services (T1021)Scheduled Task/Job (T1053),X,,,X,,,,,,,,,,,,,
Suspicious process execution in a privileged container,Informational,14 Days,30 Days,N/A (single event),1 Day,,Execution (TA0002)Privilege Escalation (TA0004),Container Administration Command (T1609)Escape to Host (T1611),X,,,,,,,,,,,,,,,,
Suspicious domain suffix,Low,14 Days,30 Days,N/A (single event),1 Day,,Initial Access (TA0001),Phishing (T1566),X,,,X,,,,,,,,,,,,,
Globally uncommon root-domain port combination by a common process (sha256),Informational,14 Days,30 Days,N/A (single event),1 Day,,Command and Control (TA0011),Application Layer Protocol (T1071),X,,,,,,,,,,,,,,,,
Modification of PAM,Informational,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003)Defense Evasion (TA0005)Credential Access (TA0006),Modify Authentication Process: Pluggable Authentication Modules (T1556.003),X,,,,,,,,,,,,,,,,
Failed Login For a Long Username With Special Characters,Informational,14 Days,30 Days,N/A (single event),1 Day,,Initial Access (TA0001),Exploit Public-Facing Application (T1190),X,,,X,,,,,,,,,,,,,
Execution of dllhost.exe with an empty command line,Low,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),System Binary Proxy Execution (T1218),X,,,,,,,,,,,,,,,,
Possible Email collection using Outlook RPC,Informational,14 Days,30 Days,N/A (single event),1 Day,,Collection (TA0009),Email Collection: Local Email Collection (T1114.001),X,,,,,,,,,,,,,,,,
File transfer from unusual IP using known tools,Informational,14 Days,30 Days,N/A (single event),1 Day,,Command and Control (TA0011),Ingress Tool Transfer (T1105),X,,,,,,,,,,,,,,,,
"Ping to localhost from an uncommon, unsigned parent process",Informational,14 Days,30 Days,N/A (single event),1 Hour,,Defense Evasion (TA0005),Virtualization/Sandbox Evasion (T1497),X,,,,,,,,,,,,,,,,
Possible DLL Side-Loading,Informational,14 Days,30 Days,N/A (single event),1 Day,,Persistence (TA0003)Privilege Escalation (TA0004)Defense Evasion (TA0005),Hijack Execution Flow: DLL Side-Loading (T1574.002),X,,,,,,,,,,,,,,,,
Rare AppID usage to a rare destination,Informational,14 Days,30 Days,N/A (single event),14 Days,,Command and Control (TA0011),Application Layer Protocol (T1071)Non-Standard Port (T1571),X,,,X,,,,,,,,,,,,,
Rare SMTP/S Session,Informational,14 Days,30 Days,N/A (single event),1 Day,,Exfiltration (TA0010),Exfiltration Over Alternative Protocol (T1048),X,,,,,,,,,,,,,,,,
Possible Microsoft process masquerading,Medium,14 Days,30 Days,N/A (single event),1 Day,,Defense Evasion (TA0005),Masquerading: Match Legitimate Name or Location (T1036.005),X,,,,,,,,,,,,,,,,
